"","linenumber","word","sentiment"
"909",249,"previous",NA
"910",249,"actual","positive"
"911",249,"perceptions",NA
"912",249,"priori",NA
"913",250,"pure",NA
"914",250,"intuition","positive"
"915",250,"intuition","trust"
"916",250,"objects",NA
"917",250,"determined","positive"
"918",251,"principles",NA
"919",251,"relations",NA
"920",251,"objects",NA
"921",251,"prior",NA
"922",251,"experience",NA
"923",253,"human",NA
"924",253,"view",NA
"925",253,"speak",NA
"926",254,"space",NA
"927",254,"extended",NA
"928",254,"objects",NA
"929",254,"depart","anticipation"
"930",254,"depart","sadness"
"931",254,"subjective",NA
"932",255,"condition",NA
"933",255,"obtain",NA
"934",255,"external",NA
"935",255,"intuition","positive"
"936",255,"intuition","trust"
"937",256,"words","anger"
"938",256,"words","negative"
"939",256,"means",NA
"940",256,"affected",NA
"941",256,"objects",NA
"942",257,"representation",NA
"943",257,"space",NA
"944",257,"meaning",NA
"945",257,"whatsoever",NA
"946",257,"predicate",NA
"947",258,"applicable",NA
"948",259,"objects",NA
"949",259,"sensibility","positive"
"950",259,"constant","positive"
"951",259,"constant","trust"
"952",259,"form",NA
"953",259,"receptivity",NA
"954",260,"call",NA
"955",260,"sensibility","positive"
"956",260,"condition",NA
"957",260,"relations",NA
"958",261,"objects",NA
"959",261,"intuited",NA
"960",261,"existing",NA
"961",261,"abstraction",NA
"962",262,"objects",NA
"963",262,"pure",NA
"964",262,"intuition","positive"
"965",262,"intuition","trust"
"966",263,"space",NA
"967",263,"special","joy"
"968",263,"special","positive"
"969",263,"conditions",NA
"970",264,"sensibility","positive"
"971",264,"conditions",NA
"972",264,"possibility","anticipation"
"973",265,"possibility","anticipation"
"974",265,"existence","positive"
"975",265,"phenomena",NA
"976",266,"correctly",NA
"977",266,"space",NA
"978",267,"externally",NA
"979",267,"considered",NA
"980",268,"intuited",NA
"981",268,"whatsoever",NA
"982",268,"subject","negative"
"983",269,"intuitions",NA
"984",269,"thinking",NA
"985",269,"judge",NA
"986",270,"bound","negative"
"987",270,"conditions",NA
"988",270,"limit",NA
"989",270,"intuition","positive"
"990",270,"intuition","trust"
"991",271,"universally",NA
"992",271,"valid",NA
"993",271,"join","positive"
"994",271,"limitation",NA
"995",272,"judgement",NA
"996",272,"conception",NA
"997",272,"subject","negative"
"998",272,"judgement",NA
"999",273,"possess","anticipation"
"1000",273,"possess","joy"
"1001",273,"possess","positive"
"1002",273,"possess","trust"
"1003",273,"unconditioned",NA
"1004",273,"validity","fear"
"1005",273,"proposition","positive"
"1006",274,"objects",NA
"1007",274,"space",NA
"1008",274,"valid",NA
"1009",275,"limitation",NA
"1010",275,"objects",NA
"1011",275,"sensuous","joy"
"1012",275,"sensuous","positive"
"1013",276,"intuition","positive"
